record_id,redcap_survey_identifier,household_sex_toy_usage_survey_timestamp,consent,screening_age,screening_usage,country_origin,country_name,age,gender_birth,gender_expression,gender_other,employment,employment_other,career,career_other,household_income,access_sextoys,access_no___1,access_no___2,access_no___3,access_no___4,access_no___5,access_no___6,access_no___7,access_no_other,own_trad_sextoys,categorize_sextoys___1,categorize_sextoys___2,categorize_sextoys___3,categorize_sextoys___4,categorize_sextoys___5,household_select___1,household_select___2,household_select___3,household_select___4,household_select___5,household_select___6,household_select___7,household_select___8,household_select___9,household_select___10,householditem_other,toothbrush_satisfaction,household_recommend_1,showerhead_satisfaction,showerhead_recommend,washmachine_satisfaction,washmachine_recommend,massagewand_satisfaction,massagewand_recommend,silktie_satisfaction,silktie_recommend,icecube_satisfaction,icecube_recommend,produce_satisfaction,produce_recommend,furniture_satisfaction,furniture_recommend,pillow_satisfaction,pillow_recommend,other_satisfaction,other_recommend,household_cost,safety_concerns___1,safety_concerns___2,safety_concerns___3,safety_concerns___4,safety_concerns___5,safety_concerns___6,safety_concerns___7,other_concern,household_sex_toy_usage_survey_complete
12,,"2023-06-24 15:46:31",Yes,1,1,1,,5,2,2,,6,,14,,6,1,0,0,0,0,0,0,0,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"Regular toothbrush ",,,50,,,,,,,,,,,,,,,,68,,2,0,1,0,1,0,0,0,,2
13,,"[not completed]",Yes,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
14,,"2023-06-24 15:56:07",Yes,1,1,1,,4,1,1,,1,,6,,5,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,69,,,,83,,,,,,,,,,,,,,5,1,1,0,0,0,0,0,,2
15,,"2023-06-24 15:56:55",Yes,1,1,1,,3,2,2,,1,,11,,4,1,0,0,0,0,0,0,0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"magic marker",,,,,,,,,,,,,,,,,,,,34,1,0,1,0,0,0,0,0,,2
16,,"[not completed]",Yes,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
17,,"2023-06-24 16:03:36",Yes,1,1,1,,5,2,2,,6,,5,,7,1,0,0,0,0,0,0,0,,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,71,,,,,,,,1,1,1,1,0,0,0,0,,2
18,,"2023-06-24 16:04:25",Yes,1,1,2,Uk,3,2,2,,3,,2,,6,1,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,,,,78,,,,,,,,,,76,,,,,,,,3,0,1,1,0,0,0,0,,2
19,,"2023-06-24 16:04:29",Yes,1,1,1,,3,2,2,,1,,18,,5,1,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,,,,90,,,,,,28,,50,,77,,,,,,,,4,1,1,1,1,0,0,0,,2
20,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
21,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
22,,"2023-06-24 16:11:15",Yes,1,1,1,,2,2,2,,1,,4,,7,0,0,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,None,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
23,,"2023-06-24 16:12:32",Yes,1,1,1,,6,2,2,,6,,21,"Construction and manufacturing ",6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,75,,,,,,50,,,,,,,,,,,,2,0,0,1,0,0,0,0,,2
24,,"2023-06-24 16:14:30",Yes,1,1,1,,3,1,1,,1,,11,,7,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,,,,65,,,,,,,,,,,,,,77,,,,4,1,1,0,0,0,0,0,,2
25,,"2023-06-24 16:12:58",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
26,,"2023-06-24 16:16:36",Yes,1,1,2,Brazil,1,2,3,,2,,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"hair brush",,,65,,,,,,,,,,,,,,,,71,,2,1,1,1,0,0,0,0,,2
27,,"[not completed]",Yes,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
28,,"2023-06-24 16:32:11",Yes,1,1,2,,1,2,2,,1,,4,,4,1,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,66,,,,,,,,,,,,,,,,,,6,0,0,0,1,0,0,0,,2
29,,"2023-06-24 16:34:08",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
30,,"2023-06-24 16:35:52",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
31,,"2023-06-24 16:36:36",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
32,,"2023-06-24 16:44:12",Yes,1,1,1,,2,2,1,,3,,6,,7,1,0,0,0,0,0,0,0,,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,"wood carving",95,,88,,,,89,,,,67,,63,,,,,30,72,,4,1,1,1,0,1,0,0,,2
33,,"[not completed]",Yes,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
34,,"2023-06-24 16:45:18",Yes,1,1,2,"Aotearoa New Zealand",1,1,6,,4,,8,,7,1,0,0,0,0,0,0,0,,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,"Water bottles",,,36,,,,,,62,,64,,25,,,,,,79,,2,0,0,0,1,0,0,0,,2
35,,"2023-06-24 16:49:52",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
36,,"2023-06-24 16:53:19",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
37,,"[not completed]",Yes,1,1,1,,1,2,2,,1,,21,,,1,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1," brush",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
38,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
39,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
40,,"2023-06-24 17:16:43",Yes,1,1,1,,1,1,1,,2,,13,,5,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,,100,,84,,,,,,,,63,,31,,,,,,,,3,1,1,1,0,0,0,0,,2
41,,"2023-06-24 17:26:01",Yes,1,1,1,,2,2,2,,2,,6,,1,1,0,0,0,0,0,0,0,,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,,,,78,,,,,,,,92,,,,78,,80,,,,,1,0,0,0,0,0,0,,2
42,,"2023-06-24 17:26:16",Yes,1,1,2,,4,2,2,,1,,4,,7,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"hairbrush handle",,,,,,,,,,,,,,,,,,,81,,1,0,0,0,0,0,0,0,,2
43,,"2023-06-24 17:26:49",Yes,1,1,1,,2,2,2,,1,,5,,6,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,67,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,,2
44,,"2023-06-24 17:32:13",Yes,1,1,2,Canada,1,1,1,,5,,9,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Hair brush",,,,,,,,,,,79,,,,,,,,95,,2,0,1,1,0,0,0,0,,2
45,,"[not completed]",Yes,1,1,1,,2,1,1,,1,,4,,7,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
46,,"2023-06-24 17:34:28",Yes,1,1,1,,2,1,3,,4,,21,"disabled ",3,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,,78,,,,,,,,100,,,,,,78,,100,,,,1,0,1,0,0,0,0,0,,2
47,,"2023-06-24 17:34:44",Yes,1,1,1,,1,1,5,,5,,8,,6,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,,52,,100,,,,,,70,,,,,,56,,,,,,4,0,1,0,1,0,0,0,,2
48,,"2023-06-24 17:35:14",Yes,1,1,2,Canada,2,1,1,,1,,10,,5,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,,,20,,,,,,,,,,11,,68,,84,,,,2,1,1,0,0,0,0,0,,2
49,,"2023-06-24 17:41:12",Yes,1,1,1,,3,2,1,,1,,6,,7,1,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,"small plastic bottle",,,,,,,69,,,,79,,74,,,,,,72,,1,0,0,0,0,0,0,0,,2
50,,"2023-06-24 17:41:49",Yes,1,1,1,,1,1,1,,1,,2,,4,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,,77,,100,,,,,,,,1,,,,,,,,,,3,0,0,1,0,0,0,0,,2
51,,"[not completed]",Yes,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
52,,"[not completed]",Yes,1,1,2,Scotland,2,1,1,,1,,21,Hospitality,3,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
53,,"2023-06-24 17:50:45",Yes,1,1,1,,5,2,2,,1,,3,,7,1,0,0,0,0,0,0,0,,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,,,,,,,,79,,,,78,,,,,,,,,,6,1,1,0,0,0,0,0,,2
54,,"[not completed]",Yes,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
55,,"2023-06-24 17:50:40",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
56,,"2023-06-24 17:53:29",Yes,1,1,1,,3,2,2,,1,,13,,5,1,0,0,0,0,0,0,0,,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,21,2,1,1,0,1,0,0,0,,2
57,,"2023-06-24 18:11:45",Yes,1,1,1,,4,1,1,,1,,11,,4,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,"plastic bottles ",,,82,,,,,,,,,,,82,,,,,32,,1,0,1,0,0,0,0,0,,2
58,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
59,,"2023-06-24 17:59:10",Yes,1,1,1,,3,2,2,,3,,4,,1,1,0,0,0,0,0,0,0,,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,96,,,,,,,,,,,,,,4,1,1,1,1,0,0,0,,2
60,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
61,,"2023-06-24 18:14:50",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
62,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
63,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
64,,"2023-06-24 18:21:44",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
65,,"2023-06-24 18:30:29",Yes,1,1,1,,2,1,1,,5,,8,,1,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,hairbrush,,,76,,,,,,,,,,,,64,,100,,70,,2,0,1,0,0,0,0,0,,2
66,,"2023-06-24 18:38:14",Yes,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
67,,"2023-06-24 18:41:19",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
68,,"2023-06-24 18:50:36",Yes,1,1,1,,4,2,2,,1,,5,,6,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,massager,,,,,,,,,,,,,,,,,,,,,5,0,1,0,0,0,0,0,,2
69,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
70,,"2023-06-24 18:55:34",Yes,1,1,1,,2,1,1,,6,,5,,7,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,,70,,84,,,,38,,44,,,,60,,,,57,,,,5,0,0,0,1,0,0,0,,2
71,,"2023-06-24 19:08:31",Yes,1,1,1,,1,1,1,,1,,21,,3,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"hairbrush handle, razor handle",,,,,57,,,,,,,,,,,,,,65,,2,1,1,0,0,0,0,0,,2
72,,"[not completed]",Yes,1,1,1,,1,2,2,,5,,,,,0,1,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
73,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
74,,"2023-06-24 19:18:07",Yes,1,1,1,,4,2,2,,1,,21,"Utility worker",6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
75,,"2023-06-24 19:16:14",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
76,,"2023-06-24 19:23:33",Yes,1,1,2,"New Zealand",2,2,2,,1,,19,,5,1,0,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,,,,71,,,,100,,,,,,82,,59,,55,,,,5,1,1,1,0,0,0,0,,2
77,,"2023-06-24 19:32:17",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
78,,"[not completed]",Yes,1,1,1,,2,1,1,,1,,11,,4,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
79,,"2023-06-24 19:46:18",Yes,1,1,2,Germany,3,1,1,,1,,11,,5,1,0,0,0,0,0,0,0,,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,"Deodorant Bottle",,,63,,,,70,,,,58,,,,,,78,,58,,3,1,0,0,0,0,0,0,,2
80,,"2023-06-24 19:54:44",Yes,1,1,1,,1,1,1,,5,,1,,3,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,,,,100,,,,,,,,,,27,,77,,100,,,,3,0,1,0,0,0,0,0,,2
81,,"2023-06-24 19:55:05",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
82,,"2023-06-24 19:57:30",Yes,1,1,1,,1,1,1,,4,,8,,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,88,,73,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,,2
83,,"2023-06-24 20:02:27",Yes,1,1,2,Canada,2,1,1,,1,,1,,7,1,0,0,0,0,0,0,0,,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,,,,50,,,,,,,,50,,,,,,,,,,3,0,0,0,0,0,0,0,,2
84,,"2023-06-24 20:05:58",Yes,1,1,2,Canada,2,1,1,,1,,2,,7,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,49,,91,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,,2
85,,"2023-06-24 20:02:46",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
86,,"2023-06-24 20:07:57",Yes,1,1,2,Canada,2,1,1,,1,,2,,6,1,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,"Brush handle ",64,,82,,71,,10,,,,76,,,,,,68,,48,,3,0,0,0,1,0,0,0,,2
87,,"2023-06-24 20:15:57",Yes,1,1,1,,2,1,3,,1,,11,,3,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,,,,90,,,,,,,,59,,,,69,,,,72,,2,1,1,0,1,0,0,0,,2
88,,"2023-06-24 20:14:36",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
89,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
90,,"[not completed]",Yes,1,1,1,,3,2,2,,1,,2,,7,1,0,0,0,0,0,0,0,,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
92,,"2023-06-24 20:23:24",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
93,,"2023-06-24 20:31:46",Yes,1,1,1,,4,1,1,,1,,2,,7,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,88,,83,,,,93,,,,,,,,,,,,,,5,0,0,0,1,0,0,0,,2
94,,"2023-06-24 20:35:38",Yes,1,1,1,,2,2,2,,1,,1,,6,0,0,0,0,0,0,0,1,"Lack of interest",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,2
95,,"2023-06-24 20:37:39",Yes,1,1,2,Canada,2,1,1,,1,,4,,7,1,0,0,0,0,0,0,0,,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,,,,50,,,,66,,,,,,,,,,50,,61,,1,1,1,1,0,0,0,0,,2
96,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
97,,"2023-06-24 20:45:09",Yes,1,1,1,,3,1,1,,1,,2,,7,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,89,,,,,,,,,,,,,,4,0,1,0,0,0,0,0,,2
98,,"2023-06-24 20:45:31",Yes,1,1,1,,5,2,2,,3,,6,,6,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,,2
99,,"2023-06-24 20:49:35",Yes,1,1,1,,5,1,1,,6,,1,,7,1,0,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,,,,78,,,,88,,,,,,65,,,,,,,,5,1,1,0,0,0,0,0,,2
100,,"2023-06-24 20:55:56",Yes,1,1,2,"New Zealand ",2,1,1,,1,,5,,4,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,72,,,,4,0,1,0,0,0,0,0,,2
101,,"2023-06-24 21:00:49",Yes,1,1,1,,2,1,1,,1,,1,,3,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,"hairbrush, glass soda bottles",63,,77,,,,100,,,,50,,69,,,,96,,77,,2,0,1,1,0,0,0,0,,2
102,,"2023-06-24 21:15:28",Yes,1,1,2,Canada,2,1,1,,4,,1,,7,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"Hairbrush, wine bottle",69,,,,,,,,,,,,71,,,,,,70,,3,1,1,1,1,1,0,0,,2
103,,"2023-06-24 21:20:33",Yes,1,1,1,,1,1,3,,4,,1,,2,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,,,,92,,,,,,84,,,,,,,,16,,,,3,0,1,0,0,0,0,0,,2
104,,"2023-06-24 21:24:05",Yes,1,2,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,2
105,,"[not completed]",Yes,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0
106,,"2023-06-24 21:31:00",Yes,1,1,2,"Netherlands ",3,2,2,,,,,,,1,0,0,0,0,0,0,0,,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,,,,,,,,,,,,65,,80,,,,27,,,,2,0,1,0,0,0,0,0,,2
